country,year,sex,age,suicides_no,population,suicides/100k pop,country-year, gdp_for_year ($) ,gdp_per_capita ($),generation
Suriname,2011,male,15-24 years,19,48619,39.08,Suriname2011,"4,422,276,622",9184,Millenials
Suriname,2011,male,55-74 years,10,26237,38.11,Suriname2011,"4,422,276,622",9184,Boomers
Suriname,2011,female,15-24 years,12,46282,25.93,Suriname2011,"4,422,276,622",9184,Millenials
Suriname,2011,female,25-34 years,6,39239,15.29,Suriname2011,"4,422,276,622",9184,Millenials
Suriname,2011,female,35-54 years,9,68303,13.18,Suriname2011,"4,422,276,622",9184,Generation X
Suriname,2011,female,55-74 years,3,30801,9.74,Suriname2011,"4,422,276,622",9184,Boomers
Suriname,2011,female,5-14 years,2,48495,4.12,Suriname2011,"4,422,276,622",9184,Generation Z
Suriname,2011,female,75+ years,0,7088,0,Suriname2011,"4,422,276,622",9184,Silent
Suriname,2011,male,5-14 years,0,51989,0,Suriname2011,"4,422,276,622",9184,Generation Z
Suriname,2012,male,75+ years,10,5346,187.06,Suriname2012,"4,980,000,000",10227,Silent
Suriname,2012,male,25-34 years,24,40412,59.39,Suriname2012,"4,980,000,000",10227,Millenials
Suriname,2012,male,35-54 years,37,70333,52.61,Suriname2012,"4,980,000,000",10227,Generation X
Suriname,2012,male,55-74 years,12,27044,44.37,Suriname2012,"4,980,000,000",10227,Boomers
Suriname,2012,male,15-24 years,17,49082,34.64,Suriname2012,"4,980,000,000",10227,Millenials
Suriname,2012,female,55-74 years,8,31542,25.36,Suriname2012,"4,980,000,000",10227,Boomers
Suriname,2012,female,15-24 years,9,46713,19.27,Suriname2012,"4,980,000,000",10227,Millenials
Suriname,2012,female,25-34 years,6,39751,15.09,Suriname2012,"4,980,000,000",10227,Millenials
Suriname,2012,female,35-54 years,7,69327,10.1,Suriname2012,"4,980,000,000",10227,Generation X
Suriname,2012,female,5-14 years,3,48244,6.22,Suriname2012,"4,980,000,000",10227,Generation Z
Suriname,2012,female,75+ years,0,7412,0,Suriname2012,"4,980,000,000",10227,Silent
Suriname,2012,male,5-14 years,0,51758,0,Suriname2012,"4,980,000,000",10227,Generation Z
Suriname,2013,male,25-34 years,27,41155,65.61,Suriname2013,"5,145,757,576",10451,Millenials
Suriname,2013,male,35-54 years,39,70987,54.94,Suriname2013,"5,145,757,576",10451,Generation X
Suriname,2013,male,15-24 years,18,49480,36.38,Suriname2013,"5,145,757,576",10451,Millenials
Suriname,2013,male,55-74 years,9,27992,32.15,Suriname2013,"5,145,757,576",10451,Boomers
Suriname,2013,female,15-24 years,12,47090,25.48,Suriname2013,"5,145,757,576",10451,Millenials
Suriname,2013,female,25-34 years,9,40347,22.31,Suriname2013,"5,145,757,576",10451,Millenials
Suriname,2013,male,75+ years,1,5470,18.28,Suriname2013,"5,145,757,576",10451,Silent
Suriname,2013,female,55-74 years,4,32385,12.35,Suriname2013,"5,145,757,576",10451,Boomers
Suriname,2013,female,35-54 years,8,70174,11.4,Suriname2013,"5,145,757,576",10451,Generation X
Suriname,2013,male,5-14 years,3,51531,5.82,Suriname2013,"5,145,757,576",10451,Generation Z
Suriname,2013,female,5-14 years,1,48022,2.08,Suriname2013,"5,145,757,576",10451,Generation Z
Suriname,2013,female,75+ years,0,7726,0,Suriname2013,"5,145,757,576",10451,Silent
Suriname,2014,male,75+ years,5,5529,90.43,Suriname2014,"5,240,606,061",10530,Silent
Suriname,2014,male,25-34 years,26,41917,62.03,Suriname2014,"5,240,606,061",10530,Millenials
Suriname,2014,male,35-54 years,38,71494,53.15,Suriname2014,"5,240,606,061",10530,Generation X
Suriname,2014,male,55-74 years,12,29170,41.14,Suriname2014,"5,240,606,061",10530,Boomers
Suriname,2014,female,25-34 years,10,40945,24.42,Suriname2014,"5,240,606,061",10530,Millenials
Suriname,2014,male,15-24 years,9,49798,18.07,Suriname2014,"5,240,606,061",10530,Millenials
Suriname,2014,female,55-74 years,6,33447,17.94,Suriname2014,"5,240,606,061",10530,Boomers
Suriname,2014,female,15-24 years,8,47355,16.89,Suriname2014,"5,240,606,061",10530,Millenials
Suriname,2014,female,35-54 years,9,70884,12.7,Suriname2014,"5,240,606,061",10530,Generation X
Suriname,2014,female,75+ years,1,8006,12.49,Suriname2014,"5,240,606,061",10530,Silent
Suriname,2014,female,5-14 years,2,47832,4.18,Suriname2014,"5,240,606,061",10530,Generation Z
